"";"Revenue";"Other Revenue, Total";"Total Revenue";"Cost of Revenue, Total";"Gross Profit";"Selling/General/Admin. Expenses, Total";"Research & Development";"Depreciation/Amortization";"Interest Expense(Income) - Net Operating";"Unusual Expense (Income)";"Other Operating Expenses, Total";"Total Operating Expense";"Operating Income";"Interest Income(Expense), Net Non-Operating";"Gain (Loss) on Sale of Assets";"Other, Net";"Income Before Tax";"Income After Tax";"Minority Interest";"Equity In Affiliates";"Net Income Before Extra. Items";"Accounting Change";"Discontinued Operations";"Extraordinary Item";"Net Income";"Preferred Dividends";"Income Available to Common Excl. Extra Items";"Income Available to Common Incl. Extra Items";"Basic Weighted Average Shares";"Basic EPS Excluding Extraordinary Items";"Basic EPS Including Extraordinary Items";"Dilution Adjustment";"Diluted Weighted Average Shares";"Diluted EPS Excluding Extraordinary Items";"Diluted EPS Including Extraordinary Items";"Dividends per Share - Common Stock Primary Issue";"Gross Dividends - Common Stock";"Net Income after Stock Based Comp. Expense";"Basic EPS after Stock Based Comp. Expense";"Diluted EPS after Stock Based Comp. Expense";"Depreciation, Supplemental";"Total Special Items";"Normalized Income Before Taxes";"Effect of Special Items on Income Taxes";"Income Taxes Ex. Impact of Special Items";"Normalized Income After Taxes";"Normalized Income Avail to Common";"Basic Normalized EPS";"Diluted Normalized EPS";"EndPeriod";"StartPeriod";"Company";"YearAvgPrice";"YearAvgPrice1QAfterStartPeriod";"YearAvgPrice2QAfterStartPeriod";"YearAvgPrice3QAfterStartPeriod";"YearAvgPrice4QAfterStartPeriod"
"2014-12-3175";436,39;NA;436,39;235,98;200,41;78,74;NA;62,85;NA;7,77;-1,82;383,52;52,87;NA;NA;NA;28,17;20,85;-14,88;4,65;10,62;NA;NA;NA;10,62;NA;10,62;10,62;NA;NA;NA;NA;10,84;0,98;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,51;2014-12-31;2014-01-01;"AIQ";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-3172";448,83;NA;448,83;239,4;209,43;80,22;NA;77,29;NA;41,17;-1,95;436,13;12,7;NA;NA;NA;-26,47;-14,07;-13,04;5,63;-21,48;NA;NA;NA;-21,48;NA;-21,48;-21,48;NA;NA;NA;0;10,63;-2,02;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,5;2013-12-31;2013-01-01;"AIQ";3,31936507936508;3,69553359683794;3,80575396825397;3,75960317460317;3,42446640316206
"2012-12-3164";472,26;NA;472,26;253,22;219,03;75,77;NA;95,19;NA;3,47;3,04;430,7;41,56;NA;NA;NA;-12,54;-5,83;-10,78;4,67;-11,94;NA;NA;NA;-11,94;NA;-11,94;-11,94;NA;NA;NA;0;10,62;-1,12;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,5;2012-12-31;NA;"AIQ";NA;NA;NA;NA;NA
"2015-12-3176";2273,31;NA;2273,31;1410,98;862,33;69,08;NA;333,71;NA;77,58;NA;1891,35;381,96;NA;NA;0,95;304,18;304,16;-92,85;NA;211,31;NA;NA;NA;211,31;NA;211,31;211,31;NA;NA;NA;NA;59,86;3,53;NA;3,77;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4,83;2015-12-31;2015-01-01;"AHGP";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-3176";2300,32;NA;2300,32;1409,39;890,93;76,7;NA;274,57;NA;0;NA;1760,66;539,66;NA;NA;1,57;492,67;492,67;-208,32;NA;284,35;NA;NA;NA;284,35;NA;284,35;284,35;NA;NA;NA;NA;59,86;4,75;NA;3,44;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4,75;2014-12-31;2014-01-01;"AHGP";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-3173";2205,2;NA;2205,2;1433,43;771,76;65,23;NA;264,91;NA;0;NA;1763,58;441,62;NA;NA;1,89;392,99;391,59;-157,72;NA;233,87;NA;NA;NA;233,87;NA;233,87;233,87;NA;NA;NA;NA;59,86;3,91;NA;3,1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,91;2013-12-31;2013-01-01;"AHGP";3,31936507936508;3,69553359683794;3,80575396825397;3,75960317460317;3,42446640316206
"2012-12-3165";2033,93;NA;2033,93;1363,93;670;62,71;NA;218,12;NA;19,03;NA;1663,8;370,13;NA;NA;3,12;330,14;331,23;-135,16;NA;196,07;NA;NA;NA;196,07;NA;196,07;196,07;NA;NA;NA;0;59,86;3,28;NA;2,72;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,48;2012-12-31;NA;"AHGP";NA;NA;NA;NA;NA
"2015-12-3177";2273,73;NA;2273,73;33,92;2239,81;1444,54;NA;333,71;NA;77,58;NA;1889,76;383,98;NA;NA;0,95;306,19;306,17;0,03;NA;306,2;NA;NA;NA;306,2;NA;156,37;156,37;NA;NA;NA;NA;74,17;2,11;NA;2,66;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,15;2015-12-31;2015-01-01;"ARLP";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-3177";2300,72;NA;2300,72;26,04;2274,69;1455,91;NA;274,57;NA;0;NA;1756,51;544,21;NA;NA;1,57;497,21;497,21;0,02;NA;497,23;NA;NA;NA;497,23;NA;353,33;353,33;NA;NA;NA;NA;74,04;4,77;NA;2,47;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4,77;2014-12-31;2014-01-01;"ARLP";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-3174";2205,56;NA;2205,56;34,67;2170,89;1462,46;NA;264,91;NA;0;NA;1762,04;443,52;NA;NA;1,89;394,89;393,49;NA;NA;393,49;NA;NA;NA;393,49;NA;268,43;268,43;NA;NA;NA;NA;73,9;3,63;NA;2,28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,63;2013-12-31;2013-01-01;"ARLP";3,31936507936508;3,69553359683794;3,80575396825397;3,75960317460317;3,42446640316206
"2012-12-3166";2034,3;NA;2034,3;60,64;1973,66;1362,03;NA;218,12;NA;19,03;NA;1659,82;374,48;NA;NA;3,12;334,49;335,57;NA;NA;335,57;NA;NA;NA;335,57;NA;225,72;225,72;NA;NA;NA;NA;73,73;3,06;NA;2,08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,23;2012-12-31;NA;"ARLP";NA;NA;NA;NA;NA
"2015-06-303";35,46;NA;35,46;28,39;7,07;8,76;NA;NA;NA;NA;NA;37,16;-1,69;NA;NA;-0,07;-1,76;-1,78;NA;NA;-1,78;NA;NA;NA;-1,78;NA;-1,78;-1,78;NA;NA;NA;NA;8,03;-0,22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,22;2015-06-30;2014-07-01;"AHPI";2,72638888888889;2,61686507936508;2,6122619047619;2,52988047808765;2,45549407114625
"2014-06-303";36,37;NA;36,37;29,06;7,31;10,42;NA;NA;NA;NA;NA;39,48;-3,11;NA;NA;-0,04;-3,15;-2,81;NA;NA;-2,81;NA;NA;NA;-2,81;NA;-2,81;-2,81;NA;NA;NA;0;8,03;-0,35;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,35;2014-06-30;2013-07-01;"AHPI";3,80511904761905;3,76801587301587;3,43210317460317;2,93222222222222;2,72830039525692
"2013-06-304";38,55;NA;38,55;30,31;8,24;10,74;NA;NA;NA;NA;NA;41,05;-2,49;NA;NA;0,48;-2;-1,26;NA;NA;-1,26;NA;NA;NA;-1,26;NA;-1,26;-1,26;NA;NA;NA;0;8,07;-0,16;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,16;2013-06-30;2012-07-01;"AHPI";3,04068273092369;2,94293172690763;3,31139442231076;3,69071146245059;3,80511904761905
"2012-06-302";43,45;NA;43,45;33,48;9,96;10,61;NA;NA;NA;NA;NA;44,1;-0,65;NA;NA;-0,05;-0,67;-0,42;NA;NA;-0,42;NA;NA;NA;-0,42;NA;-0,42;-0,42;NA;NA;NA;0;8,12;-0,05;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,05;2012-06-30;NA;"AHPI";NA;NA;NA;NA;NA
"2015-12-3178";232,43;NA;232,43;163,66;68,77;30,4;14,23;2,64;NA;0,57;NA;211,5;20,93;NA;NA;0,51;15,42;11,07;NA;NA;11,07;NA;NA;NA;11,07;NA;11,07;11,07;NA;NA;NA;NA;9,24;1,2;NA;0,1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,24;2015-12-31;2015-01-01;"AMOT";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-3178";249,68;NA;249,68;176,26;73,43;32,68;13,88;2,71;NA;0;NA;225,53;24,15;NA;NA;0,91;18,62;13,86;NA;NA;13,86;NA;NA;NA;13,86;NA;13,86;13,86;NA;NA;NA;NA;9,16;1,51;NA;0,1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,99;2014-12-31;2014-01-01;"AMOT";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-3175";125,5;NA;125,5;88,98;36,52;18,56;7,93;0,82;NA;2,15;NA;118,44;7,06;NA;NA;0,17;5,78;3,95;NA;NA;3,95;NA;NA;NA;3,95;NA;3,95;3,95;NA;NA;NA;0;8,84;0,45;NA;0,1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,03;2013-12-31;2013-01-01;"AMOT";3,31936507936508;3,69553359683794;3,80575396825397;3,75960317460317;3,42446640316206
"2012-12-3167";101,97;NA;101,97;72,33;29,64;15,9;6,06;0,55;NA;0;NA;94,84;7,13;NA;NA;0,38;7,5;5,4;NA;NA;5,4;NA;NA;NA;5,4;NA;5,4;5,4;NA;NA;NA;NA;8,62;0,63;NA;0,1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,07;2012-12-31;NA;"AMOT";NA;NA;NA;NA;NA
"2015-12-3179";15,04;NA;15,04;6,78;8,26;32,23;0,72;2,22;NA;2,88;NA;43,35;-28,31;NA;NA;NA;-27,73;-26,02;NA;NA;-26,02;NA;NA;NA;-26,02;NA;-26,02;-26,02;NA;NA;NA;NA;23,06;-1,13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1,05;2015-12-31;2015-01-01;"ALQA";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-3179";4,79;NA;4,79;3,79;1;25,14;0;0,49;NA;0,55;NA;30,2;-25,42;NA;NA;NA;-25,43;-25,45;NA;NA;-25,45;NA;NA;NA;-25,45;NA;-25,45;-25,45;NA;NA;NA;NA;14,63;-1,74;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1,72;2014-12-31;2014-01-01;"ALQA";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-3176";1,8;NA;1,8;2,25;-0,45;11,52;0,06;NA;NA;8,1;NA;21,93;-20,13;NA;NA;NA;-21,97;-21,98;NA;NA;-21,98;NA;NA;NA;-21,98;NA;-22,44;-22,44;NA;NA;NA;NA;7,14;-3,14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-2,41;2013-12-31;2013-01-01;"ALQA";3,31936507936508;3,69553359683794;3,80575396825397;3,75960317460317;3,42446640316206
"2012-12-3168";1,23;NA;1,23;1,84;-0,61;4,05;0,23;NA;NA;0;NA;6,13;-4,9;NA;NA;0;-4,89;-4,91;NA;NA;-4,91;NA;NA;NA;-4,91;NA;-4,91;-4,91;NA;NA;NA;0;5,38;-0,91;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,91;2012-12-31;NA;"ALQA";NA;NA;NA;NA;NA
"2012-12-3169";104,75;NA;104,75;46,92;57,83;44,79;22,06;NA;NA;NA;NA;113,77;-9,02;NA;NA;NA;-7,66;-6,74;NA;NA;-6,74;NA;NA;NA;-6,74;NA;-6,74;-6,74;NA;NA;NA;0;31,96;-0,21;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,21;2012-12-31;2012-01-01;"ALLT";6,4246;4,23706827309237;3,0408;2,94940239043825;3,31557312252964
"2011-12-31";77,75;NA;77,75;22,18;55,58;34,02;13,22;NA;NA;0;NA;69,41;8,34;NA;NA;NA;8,75;8,81;NA;NA;8,81;NA;NA;NA;8,81;NA;8,81;8,81;NA;NA;NA;NA;27,07;0,33;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,36;2011-12-31;2011-01-01;"ALLT";9,415;11,5597222222222;9,85096296296296;7,84106060606061;6,44092369477912
"2010-12-31";56,97;NA;56,97;15,98;40,99;27,49;11,26;NA;NA;7,71;NA;62,45;-5,48;NA;NA;NA;-5,68;-5,76;NA;NA;-5,76;NA;NA;NA;-5,76;NA;-5,76;-5,76;NA;NA;NA;0;22,83;-0,25;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,01;2010-12-31;2010-01-01;"ALLT";NA;NA;NA;NA;9,415
"2009-12-31";41,75;NA;41,75;11,84;29,92;25,95;9,27;NA;NA;3,04;NA;50,09;-8,33;NA;NA;NA;-7,61;-7,67;NA;NA;-7,67;NA;NA;NA;-7,67;NA;-7,67;-7,67;NA;NA;NA;0;22,19;-0,35;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,23;2009-12-31;NA;"ALLT";NA;NA;NA;NA;NA
"2015-12-3180";1386,39;NA;1386,39;805,83;580,57;339,18;184,79;23,17;NA;1,54;NA;1354,51;31,88;NA;NA;-12,93;0,57;-2,06;-0,17;NA;-2,23;NA;NA;NA;-2,23;NA;-2,23;-2,23;NA;NA;NA;0;185,08;-0,01;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,01;2015-12-31;2015-01-01;"MDRX";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-3180";1377,87;NA;1377,87;831,89;545,98;358,68;192,82;31,28;NA;2,39;NA;1417,06;-39,19;NA;NA;-12,91;-68,12;-66,45;NA;NA;-66,45;NA;NA;NA;-66,45;NA;-66,45;-66,45;NA;NA;NA;0;179,85;-0,37;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,36;2014-12-31;2014-01-01;"MDRX";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-3177";1373,06;NA;1373,06;838,61;534,46;403,6;199,75;31,25;NA;27,45;NA;1500,66;-127,6;NA;NA;-14,14;-148,35;-104,03;NA;NA;-104,03;NA;NA;NA;-104,03;NA;-104,03;-104,03;NA;NA;NA;0;177,03;-0,59;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,49;2013-12-31;2013-01-01;"MDRX";3,31936507936508;3,69553359683794;3,80575396825397;3,75960317460317;3,42446640316206
"2012-12-3170";1446,33;NA;1446,33;839,79;606,53;384,37;162,16;35,63;NA;11,1;NA;1433,05;13,27;NA;NA;-19,61;-17,46;-1,15;NA;NA;-1,15;NA;NA;NA;-1,15;NA;-1,15;-1,15;NA;NA;NA;0;178,7;-0,01;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,03;2012-12-31;NA;"MDRX";NA;NA;NA;NA;NA
"2016-01-01";532,21;NA;532,21;281,84;250,37;218,27;NA;NA;NA;NA;NA;500,11;32,1;NA;NA;NA;30,1;19,54;0,47;NA;20,01;NA;NA;NA;20,01;NA;20,01;20,01;NA;NA;NA;NA;9,74;2,05;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,05;2016-01-01;2015-01-01;"AFAM";2,61218253968254;2,52654761904762;2,45288537549407;2,42068783068783;2,37087301587302
"2014-12-3181";495,83;NA;495,83;263,99;231,84;207,36;NA;NA;NA;NA;NA;471,35;24,48;NA;NA;NA;23,04;13,52;0,24;NA;13,76;NA;NA;NA;13,76;NA;13,76;13,76;NA;NA;NA;NA;9,46;1,45;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,45;2014-12-31;2014-01-01;"AFAM";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-3178";356,91;NA;356,91;190,55;166,36;151,57;NA;NA;NA;NA;NA;342,12;14,79;NA;NA;NA;14,63;8,61;0,18;NA;8,78;NA;NA;NA;8,23;NA;8,78;8,23;NA;NA;NA;NA;9,37;0,94;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,94;2013-12-31;2013-01-01;"AFAM";3,31936507936508;3,69553359683794;3,80575396825397;3,75960317460317;3,42446640316206
"2012-12-3171";342,45;NA;342,45;177,55;164,9;136,64;NA;NA;NA;NA;NA;314,19;28,26;NA;NA;NA;28,16;17,11;0;NA;17,11;NA;NA;NA;17,28;NA;17,11;17,28;NA;NA;NA;NA;9,32;1,84;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,84;2012-12-31;NA;"AFAM";NA;NA;NA;NA;NA
"2015-12-3181";41,1;NA;41,1;NA;NA;60,61;276,5;NA;NA;NA;NA;337,11;-296,01;NA;NA;0,08;-290,07;-290,07;NA;NA;-290,07;NA;NA;NA;-290,07;NA;-290,07;-290,07;NA;NA;NA;NA;83,99;-3,45;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-3,45;2015-12-31;2015-01-01;"ALNY";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-3182";50,56;NA;50,56;NA;NA;44,53;411,01;NA;NA;0;NA;455,54;-404,98;NA;NA;1,82;-400,6;-360,39;NA;NA;-360,39;NA;NA;NA;-360,39;NA;-360,39;-360,39;NA;NA;NA;NA;74,28;-4,85;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-4,85;2014-12-31;2014-01-01;"ALNY";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-3179";47,17;NA;47,17;NA;NA;27,15;112,96;NA;NA;0;NA;140,11;-92,94;NA;NA;-0,05;-91,92;-89,22;NA;NA;-89,22;NA;NA;NA;-89,22;NA;-89,22;-89,22;NA;NA;NA;0;61,55;-1,45;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1,45;2013-12-31;2013-01-01;"ALNY";3,31936507936508;3,69553359683794;3,80575396825397;3,75960317460317;3,42446640316206
"2012-12-3172";66,72;NA;66,72;NA;NA;43,72;83,75;NA;NA;68,71;NA;196,18;-129,46;NA;NA;16,41;-116,59;-106,01;NA;NA;-106,01;NA;NA;NA;-106,01;NA;-106,01;-106,01;NA;NA;NA;0;50,29;-2,11;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1,22;2012-12-31;NA;"ALNY";NA;NA;NA;NA;NA
"2015-06-304";327,94;NA;327,94;267,45;60,48;37,2;27,07;NA;NA;0;NA;331,73;-3,79;NA;NA;NA;-3,87;-7,93;NA;NA;-7,93;NA;NA;NA;-7,93;NA;-7,93;-7,93;NA;NA;NA;NA;26,43;-0,3;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,3;2015-06-30;2014-07-01;"AOSL";2,72638888888889;2,61686507936508;2,6122619047619;2,52988047808765;2,45549407114625
"2014-06-304";318,12;NA;318,12;259,05;59,07;34,85;24,41;NA;NA;0;NA;318,31;-0,19;NA;NA;NA;-0,34;-3,31;NA;NA;-3,31;NA;NA;NA;-3,31;NA;-3,31;-3,31;NA;NA;NA;NA;25,95;-0,13;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,13;2014-06-30;2013-07-01;"AOSL";3,80511904761905;3,76801587301587;3,43210317460317;2,93222222222222;2,72830039525692
"2013-06-305";337,44;NA;337,44;272,85;64,58;35,47;27,83;NA;NA;2,56;NA;338,71;-1,28;NA;NA;NA;-1,57;-5,58;NA;NA;-5,58;NA;NA;NA;-5,58;NA;-5,58;-5,58;NA;NA;NA;0;25,35;-0,22;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,15;2013-06-30;2012-07-01;"AOSL";3,04068273092369;2,94293172690763;3,31139442231076;3,69071146245059;3,80511904761905
"2012-06-303";342,29;NA;342,29;259,13;83,17;35,8;30,63;NA;NA;0;NA;325,56;16,73;NA;NA;NA;16,5;12,92;NA;NA;12,92;NA;NA;NA;12,92;NA;12,92;12,92;NA;NA;NA;0;25,61;0,5;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,51;2012-06-30;NA;"AOSL";NA;NA;NA;NA;NA
"2015-12-3182";74989;NA;74989;28164;46825;15183;12282;NA;NA;NA;NA;55629;19360;NA;0;256;19651;16348;NA;NA;16348;NA;NA;NA;16348;NA;15826;15826;NA;NA;NA;0;692,93;22,84;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;22,84;2015-12-31;2015-01-01;"GOOG";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-3183";66001;NA;66001;25313;40688;13982;9832;NA;NA;378;NA;49505;16496;NA;0;178;17259;13620;NA;NA;13620;NA;NA;NA;14136;NA;13620;14136;NA;NA;NA;0;687,07;19,82;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20,26;2014-12-31;2014-01-01;"GOOG";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-3180";55519;NA;55519;21993;33526;10986;7137;NA;NA;NA;NA;40116;15403;NA;-57;252;15899;13160;NA;NA;13160;NA;NA;NA;12733;NA;13160;12733;NA;NA;NA;0;736,95;17,86;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17,92;2013-12-31;2013-01-01;"GOOG";3,31936507936508;3,69553359683794;3,80575396825397;3,75960317460317;3,42446640316206
"2012-12-3173";46039;NA;46039;17176;28863;8946;6083;NA;NA;NA;NA;32205;13834;NA;188;592;14469;11553;NA;NA;11553;NA;NA;NA;10737;NA;11553;10737;NA;NA;NA;0;664,61;17,38;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17,16;2012-12-31;NA;"GOOG";NA;NA;NA;NA;NA
"2015-12-3183";74989;NA;74989;28164;46825;15183;12282;NA;NA;NA;NA;55629;19360;NA;0;256;19651;16348;NA;NA;16348;NA;NA;NA;16348;NA;15826;15826;NA;NA;NA;0;692,93;22,84;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;22,84;2015-12-31;2015-01-01;"GOOGL";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-3184";66001;NA;66001;25313;40688;13982;9832;NA;NA;378;NA;49505;16496;NA;0;178;17259;13620;NA;NA;13620;NA;NA;NA;14136;NA;13620;14136;NA;NA;NA;0;687,07;19,82;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20,26;2014-12-31;2014-01-01;"GOOGL";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-3181";55519;NA;55519;21993;33526;10986;7137;NA;NA;NA;NA;40116;15403;NA;-57;252;15899;13160;NA;NA;13160;NA;NA;NA;12733;NA;13160;12733;NA;NA;NA;0;736,95;17,86;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17,92;2013-12-31;2013-01-01;"GOOGL";3,31936507936508;3,69553359683794;3,80575396825397;3,75960317460317;3,42446640316206
"2012-12-3174";46039;NA;46039;17176;28863;8946;6083;NA;NA;NA;NA;32205;13834;NA;188;592;14469;11553;NA;NA;11553;NA;NA;NA;10737;NA;11553;10737;NA;NA;NA;0;664,61;17,38;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17,16;2012-12-31;NA;"GOOGL";NA;NA;NA;NA;NA
"2015-12-3184";185,28;NA;185,28;65,19;120,08;105,72;18,04;2,4;NA;166,36;NA;357,72;-172,44;NA;NA;6,98;-178;-178,68;NA;NA;-178,68;NA;NA;NA;-178,68;NA;-178,68;-178,68;NA;NA;NA;NA;99,57;-1,79;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,71;2015-12-31;2015-01-01;"ATEC";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-3185";206,98;NA;206,98;63,57;143,41;120,56;17,33;2,97;NA;0,71;0;205,14;1,84;NA;NA;-0,03;-11,79;-12,88;NA;NA;-12,88;NA;NA;NA;-12,88;NA;-12,88;-12,88;NA;NA;NA;NA;97,35;-0,13;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,13;2014-12-31;2014-01-01;"ATEC";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-3182";204,72;NA;204,72;80,4;124,32;124,91;14,19;3,01;NA;55,65;0;278,16;-73,43;NA;NA;-1,66;-79,05;-82,23;NA;NA;-82,23;NA;NA;NA;-82,23;NA;-82,23;-82,23;NA;NA;NA;0;96,23;-0,85;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,48;2013-12-31;2013-01-01;"ATEC";3,31936507936508;3,69553359683794;3,80575396825397;3,75960317460317;3,42446640316206
"2012-12-3175";196,28;NA;196,28;72,51;123,77;115,12;15,23;2,18;NA;0;1,08;206,12;-9,84;NA;NA;-0,79;-16,62;-15,46;NA;NA;-15,46;NA;NA;NA;-15,46;NA;-15,46;-15,46;NA;NA;NA;0;90,22;-0,17;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,17;2012-12-31;NA;"ATEC";NA;NA;NA;NA;NA
"2015-12-3185";1051,47;NA;1051,47;687,33;364,14;169,95;NA;50,92;NA;67,95;-7,59;968,55;82,91;NA;NA;0,08;53,06;44,8;-3,2;NA;41,6;NA;NA;NA;41,6;NA;41,6;41,6;NA;NA;NA;NA;20,62;2,02;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4,8;2015-12-31;2015-01-01;"ASPS";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-3186";1078,92;NA;1078,92;707,18;371,74;156,5;NA;45,23;NA;37,47;-37,92;908,46;170,45;NA;NA;0,07;147,26;137,09;-2,6;NA;134,48;NA;NA;NA;134,48;NA;134,48;134,48;NA;NA;NA;NA;23,63;5,69;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7,17;2014-12-31;2014-01-01;"ASPS";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
