"";"Revenue";"Other Revenue, Total";"Total Revenue";"Cost of Revenue, Total";"Gross Profit";"Selling/General/Admin. Expenses, Total";"Research & Development";"Depreciation/Amortization";"Interest Expense(Income) - Net Operating";"Unusual Expense (Income)";"Other Operating Expenses, Total";"Total Operating Expense";"Operating Income";"Interest Income(Expense), Net Non-Operating";"Gain (Loss) on Sale of Assets";"Other, Net";"Income Before Tax";"Income After Tax";"Minority Interest";"Equity In Affiliates";"Net Income Before Extra. Items";"Accounting Change";"Discontinued Operations";"Extraordinary Item";"Net Income";"Preferred Dividends";"Income Available to Common Excl. Extra Items";"Income Available to Common Incl. Extra Items";"Basic Weighted Average Shares";"Basic EPS Excluding Extraordinary Items";"Basic EPS Including Extraordinary Items";"Dilution Adjustment";"Diluted Weighted Average Shares";"Diluted EPS Excluding Extraordinary Items";"Diluted EPS Including Extraordinary Items";"Dividends per Share - Common Stock Primary Issue";"Gross Dividends - Common Stock";"Net Income after Stock Based Comp. Expense";"Basic EPS after Stock Based Comp. Expense";"Diluted EPS after Stock Based Comp. Expense";"Depreciation, Supplemental";"Total Special Items";"Normalized Income Before Taxes";"Effect of Special Items on Income Taxes";"Income Taxes Ex. Impact of Special Items";"Normalized Income After Taxes";"Normalized Income Avail to Common";"Basic Normalized EPS";"Diluted Normalized EPS";"EndPeriod";"StartPeriod";"Company";"YearAvgPrice";"YearAvgPrice1QAfterStartPeriod";"YearAvgPrice2QAfterStartPeriod";"YearAvgPrice3QAfterStartPeriod";"YearAvgPrice4QAfterStartPeriod"
"2014-12-311729";424,07;NA;424,07;383;41,07;4,14;NA;NA;NA;0;NA;387,14;36,93;NA;NA;NA;32,95;20,49;NA;NA;20,49;NA;NA;NA;19,36;NA;20,49;19,36;NA;NA;NA;NA;5,37;3,81;NA;0,39;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,81;2014-12-31;2014-01-01;"VSEC";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-311716";471,64;NA;471,64;424,25;47,39;3,29;NA;NA;NA;0;NA;427,54;44,1;NA;NA;NA;38,31;23,99;NA;NA;23,99;NA;NA;NA;22,85;NA;23,99;22,85;NA;NA;NA;NA;5,34;4,49;NA;0,35;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4,49;2013-12-31;2013-01-01;"VSEC";3,31936507936508;3,69553359683794;3,80575396825397;3,75960317460317;3,42446640316206
"2012-12-311649";546,75;NA;546,75;490,69;56,07;3,97;NA;NA;NA;1,02;NA;495,68;51,08;NA;NA;NA;43,85;27,36;NA;NA;27,36;NA;NA;NA;21,29;NA;27,36;21,29;NA;NA;NA;NA;5,31;5,15;NA;0,31;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5,27;2012-12-31;NA;"VSEC";NA;NA;NA;NA;NA
"2015-12-311726";0,52;NA;0,52;NA;NA;9,08;29,58;NA;NA;NA;NA;38,66;-38,14;NA;NA;-1,23;-41,11;-41,11;13,61;NA;-27,5;NA;NA;NA;-27,5;NA;-27,5;-27,5;NA;NA;NA;NA;8,28;-3,32;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-3,32;2015-12-31;2015-01-01;"VTVT";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-311730";1,55;NA;1,55;NA;NA;11,72;18,73;NA;NA;NA;NA;30,45;-28,9;NA;NA;-1,13;-36,1;-36,1;0;NA;-36,1;NA;NA;NA;-36,1;NA;-36,1;-36,1;NA;NA;NA;NA;32,81;-1,1;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1,1;2014-12-31;2014-01-01;"VTVT";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-311717";0,98;NA;0,98;NA;NA;11,38;25,43;NA;NA;NA;NA;36,81;-35,83;NA;NA;-0,53;-48,2;-48,2;0;NA;-48,2;NA;NA;NA;-48,2;NA;-48,2;-48,2;NA;NA;NA;NA;32,81;-1,47;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1,47;2013-12-31;NA;"VTVT";NA;NA;NA;NA;NA
"2015-12-311727";4318,8;NA;4318,8;3121,7;1197,1;876,9;NA;NA;NA;32,7;NA;4031,3;287,5;NA;NA;45,4;230,1;154,3;NA;NA;154,3;NA;NA;NA;154,3;NA;154,3;154,3;NA;NA;NA;NA;131,8;1,17;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,35;2015-12-31;2015-01-01;"VWR";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-311731";4375,3;NA;4375,3;3131,9;1243,4;893,8;NA;NA;NA;36,8;NA;4062,5;312,8;NA;NA;0;237,4;152,6;NA;NA;152,6;NA;NA;NA;152,6;NA;123,2;123,2;NA;NA;NA;NA;131,36;0,94;NA;0,25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,17;2014-12-31;2014-01-01;"VWR";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-311718";4187,8;NA;4187,8;2991,5;1196,3;910,6;NA;NA;NA;33,7;NA;3935,8;252;NA;NA;0;22,5;14,1;NA;NA;14,1;NA;NA;NA;14,1;NA;-33,8;-33,8;NA;NA;NA;0;127,53;-0,27;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,1;2013-12-31;2013-01-01;"VWR";3,31936507936508;3,69553359683794;3,80575396825397;3,75960317460317;3,42446640316206
"2012-12-311650";4129,4;NA;4129,4;2962;1167,4;898,5;NA;NA;NA;42,4;NA;3902,9;226,5;NA;NA;-0,7;11,9;3,8;NA;NA;3,8;NA;NA;NA;3,8;NA;-41,7;-41,7;NA;NA;NA;0;127,53;-0,33;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,11;2012-12-31;NA;"VWR";NA;NA;NA;NA;NA
"2015-12-311728";7,17;NA;7,17;3,22;3,95;9,76;9,28;NA;NA;0;NA;22,26;-15,09;NA;NA;0,25;-15,18;-15,31;NA;NA;-15,31;NA;NA;NA;-15,31;NA;-19,99;-19,99;NA;NA;NA;NA;7,74;-2,58;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-2,58;2015-12-31;2015-01-01;"WGBS";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-311732";6;NA;6;2,57;3,43;9,16;6,72;NA;NA;0,13;NA;18,58;-12,58;NA;NA;0,19;-10,69;-10,69;NA;NA;-10,69;NA;NA;NA;-10,69;NA;-10,69;-10,69;NA;NA;NA;NA;2,57;-4,17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-4,13;2014-12-31;2014-01-01;"WGBS";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-311719";1,3;NA;1,3;0,57;0,73;5,25;5,4;NA;NA;1,58;NA;12,81;-11,51;NA;NA;0,17;-16,26;-16,27;NA;NA;-16,27;NA;NA;NA;-16,27;NA;-17,71;-17,71;NA;NA;NA;NA;0,3;-58,16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-54,78;2013-12-31;2013-01-01;"WGBS";3,31936507936508;3,69553359683794;3,80575396825397;3,75960317460317;3,42446640316206
"2012-12-311651";0,59;NA;0,59;0,42;0,17;3,77;6,16;NA;NA;0;NA;10,35;-9,77;NA;NA;-0,12;-8,2;-8,18;NA;NA;-8,18;NA;NA;NA;-8,18;NA;-8,98;-8,98;NA;NA;NA;0;0,04;-214,19;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-214,19;2012-12-31;NA;"WGBS";NA;NA;NA;NA;NA
